Question Number,Question,Choice A,Choice B,Choice C,Choice D,Choice E
570,"A homeowner hires a moving company to transport ten pieces of electronic equipment to 
a new home.  Each piece is equally likely to be damaged during the move, and the event 
of damage to any one piece is independent of the events of damage to the other pieces.  
 
The homeowner fully insures two of these pieces, partially insures three of them, and 
leaves the other five pieces uninsured. 
 
During the move, three pieces are damaged.   
 
Calculate the probability that at least one damaged piece is fully insured and at least one 
damaged piece is partially insured.",0.242,0.250,0.325,0.378,0.400
571,"Let X be a continuous random variable with density function 
 
,
for 
2
4
( )
10
0,
otherwise.
x
x
f x

−
<
<

= 

 
 
Calculate Var(X).",0.25,2.52,3.32,4.13,4.93
572,"In a large city, 40% of the intersections are safe, while all others are dangerous.  The 
numbers of accidents occurring annually at individual safe and dangerous intersections 
are Poisson distributed with means 0.5 and 1.0, respectively.   
 
No accidents occurred during 2004 at Thirty-Fourth Street and Vine Street, an 
intersection within the city. 
 
Calculate the probability that Thirty-Fourth Street and Vine is a safe intersection.",0.24,0.40,0.46,0.52,0.62
573,"A company insures 40,000 drivers.  The annual number of auto accidents for individual 
drivers is modeled by mutually independent Poisson random variables with mean 0.16. 
 
Calculate the coefficient of variation for the total annual number of auto accidents for all 
40,000 drivers.",0.01,0.16,0.40,1.00,2.50
574,"A gardener models his strawberry (S) / blueberry (B) harvest with the following joint 
probability distribution.  Note that three of the entries are smudged and cannot be read. 
 
B 
 
 
S 
 
1 
2 
3 
4 
5 
1 
0.07 
0.06 
0.06 
0.05 
0.01 
2 
0.07 
0.10 
0.08 
0.05 
0.03 
3 
0.04 
0.05 
0.06 
0.05 
0.04 
4 
0.01 
0.02 
? 
? 
? 
 
Calculate the variance of the strawberry harvest.",1.03,1.04,1.07,1.09,Cannot
575,"An insurer's quarterly profits are independent and normally distributed with mean 8 and 
standard deviation 24.  A quarterly loss counts as a negative profit. 
 
Let Z represent the standard normal random variable.  
 
Determine the probability that the insurer makes an overall positive profit in a given four-
quarter period.",P[Z,P[Z,P[Z,P[Z,P[Z
576,"A light bulb’s lifetime in months is uniformly distributed on [0, 40].   
 
Let a be a positive real number less than 30.  The probability that the light bulb fails 
within 30 months, given that it is working after a months, equals 0.60. 
 
Calculate the value of a.",6,12,15,16,18
577,"A homeowners insurance company pays claims only for thefts and fires.  This year, the 
company's total theft losses are normally distributed with mean 100 and standard 
deviation 40. The company's total fire losses are normally distributed with mean 150 and 
standard deviation 30.  Theft losses are independent of fire losses.  
 
Calculate the coefficient of variation for the company's combined theft and fire losses this 
year.",0.20,0.28,0.30,0.40,0.60
578,"An insurance company offers two kinds of insurance: automobile insurance and 
homeowners insurance.  This year, the company's profit from automobile insurance is 
normally distributed with mean 200 and standard deviation 400. The company's profit 
from homeowners insurance is normally distributed with mean 400 and standard 
deviation 300. The two profits are independent.  
 
Let Z represent the standard normal random variable. 
 
Determine the probability that the company's overall profit this year is positive.",P[Z,P[Z,P[Z,P[Z,P[Z
579,"The time T, in years, a fuse lasts is a random variable with density function 
 



>
=
−
otherwise.
,0
0
for 
,
)
(
t
te
t
g
t
 
 
Calculate the probability that a fuse lasts at most two years, given that it lasts at least one 
year.",0.061,0.330,0.448,0.736,0.807
580,"Let 
1
2
3
4
,
,
,
X
X
X
X  be independent observations of a random variable with mean 10 and 
standard deviation 3.   
 
Calculate the variance of 
1
2
3
4
3X
X
X
X
−
−
−
.",27,36,54,81,108
581,"The following table gives the joint probability function of two random variables X and Y: 
 
 
X 
0 
1 
2 
Y 
0 
1/6 
0 
1/2 
1 
0 
1/3 
0 
 
Calculate Cov(X,Y).",–1/9,0,1/18,1/9,2/9
582,"The annual amount a travel insurance company pays for claims has standard deviation 3.  
The 52 weekly amounts the company pays for claims are independent and have the same 
standard deviation.   
 
Calculate the standard deviation of each of these weekly amounts.","2
52
3","52
3","52
3","52
3","52
3
"
583,"Claim amounts from accidents in an amusement park are uniformly distributed on an 
interval. The probability that a randomly selected claim amount is less than 12 is 0.50.  
The probability that a randomly selected claim amount exceeds 6 is 0.875.   
 
Calculate the probability that a randomly selected claim amount is less than 10, given that 
it exceeds 6.",2/9,1/4,2/7,3/8,3/7
584,"The number of thefts in any year a warehouse owner experiences is modeled by a Poisson 
distribution.  In each year, the probability of at least one theft is 0.10, and the yearly 
number of thefts are independent.  
 
Calculate the variance of the total number of thefts the owner experiences in the next 15 
years.",0.11,0.41,1.35,1.50,1.58
585,"The random variable Y has density function  
 
2
,
for 0
6
( )
6
36
0,
otherwise.
y
y
y
f y

−
<
<

= 

 
 
Calculate P[1
3 2
4]
Y
Y
<
<
<
<
.",0.111,0.241,0.481,0.500,0.885
586,"An insurance company sells an automobile policy that pays 80% of any losses that 
exceed the deductible of 500.  The loss amounts (in units of 1000) follow an exponential 
distribution with mean 6. 
 
Calculate the probability that the policy payment on a randomly selected loss exceeds 
5000.",0.024,0.318,0.325,0.675,0.682
587,"Once each morning and once each afternoon, the driver of a delivery truck is assigned to 
a route with a length that depends upon the items being delivered.  The morning route 
may be 5, 10 or 40 miles.  The afternoon route may be 0, 5 or 10 miles.  The probabilities 
with which the pairs of routes have been assigned are:  
 
 
 
Length of Afternoon Route 
(miles) 
Length of 
Morning 
Route(miles) 
 
0 
5 
10 
5 
0 
2p 
3p 
10 
0 
2p 
0 
40 
q 
0 
0 
 
The lengths of the assigned afternoon routes have a mean of 6 miles. 
 
Calculate the variance of the length of an afternoon route.",11.0,12.0,16.5,26.5,42.0
588,"The lifetimes of light bulbs are independent and exponentially distributed with common 
mean 1000 hours.  A lamp has a single bulb and is continuously on.  Each light bulb is 
replaced immediately after it burns out.  
 
Calculate the standard deviation of the time, in hours, until the failure of the fifth bulb.",71,158,1000,2236,5000
589,"In a one-year period, the number of fires that occur in buildings insured by ABC 
insurance is Poisson distributed with mean 12.  The resulting losses are independent 
random variables that are also independent of the number of losses, each having density 
function 
 
8
,
for 0
8
( )
32
0,
otherwise.
x
x
f x
−

<
<

= 

 
 
The payment for any loss is equal to the amount of the loss in excess of a deductible of 2. 
 
Calculate the expected total payment that ABC must make for losses due to fire that 
occur in a one-year period.",8.0,13.5,16.5,30.0,32.0
590,"Each of three people is holding a biased coin that has probability 0.25 of landing heads.  
They toss the coins simultaneously.  After each round of tosses, if the outcomes are all 
heads or all tails, they will continue to another round; otherwise, they will stop. 
 
Calculate the probability that there will be exactly five rounds of tosses.",0.0003,0.0029,0.0206,0.0438,0.1030
591,"In a given year, a manufacturer’s profit from selling warranties is normally distributed 
with mean 20 and variance 16. 
 
Calculate the interval, centered at the mean, containing 25% of the probability associated 
with a single yearly profit.","(12.2,","(14.9,","(16.0,","(17.3,","(18.7,"
592,"A group of 18 patients is tested for diabetes.  Each patient independently has a 0.15 
probability of testing positive.   
 
Calculate the mode of the number of patients in the group who test positive.",0,1,2,3,4
593,"An insurance company’s annual profit is normally distributed with mean 39.  The 28th 
percentile of the annual profit is 21. 
 
Calculate the percentile associated with an annual profit of 3 for this insurance company.",4th,6th,8th,10th,12th
594,"From a standard deck of 52 playing cards, five cards are chosen without replacement.  
 
Calculate the probability of obtaining at least two kings, but no aces or jacks.",0.0174,0.0228,0.0240,0.0298,0.0417
595,"The check-out times for customers at a grocery store are modeled by a continuous 
uniform distribution between 1.1 and 8.6 minutes.  The store would like to advertise that 
“no more than 5% of customers require more than y minutes to check out.” 
 
Calculate the minimum value for y.",1.475,7.125,8.170,8.225,8.545
596,"An insurance company’s annual profit is normally distributed.  The probability that the 
annual profit exceeds 3.50 is 0.3264 and the probability that it exceeds 3.62 is 0.2743. 
 
Calculate the variance of the insurance company’s annual profit.",0.44,0.64,0.80,1.25,1.56
